coucode,casecode,indcode,ecorisk,dCi
2,20,11,0.0284385498919302,0.0204062786752084
2,20,12,0.0195966047876028,0.0140515773625506
2,20,13,0.0189443814550575,0.0135691616112036
2,20,14,0.0190557631405978,0.0162478071098012
2,20,15,0.0772166625523674,0.0961087933576519
2,20,16,0.0307755810886885,-0
2,20,17,0.0197676703909631,-0
2,20,18,0.395893114674288,0.586951251759875
2,20,19,0.0993286618648639,0.150518705138374
2,20,20,0.422758855291445,0.479303716587532
2,20,21,0.00933017204210296,-0
2,20,22,0.136523602668508,0.180238770825124
2,20,23,0.0071865418142304,-0
2,20,24,0.0279898600931032,-0
2,20,25,0.0417820415214714,-0
2,20,26,0.0359019381595299,-0
2,20,27,0.0402142926688329,-0
2,20,28,0.0368807879281057,-0
2,20,29,0.0428884356710958,-0
2,20,30,0.00286012081701004,-0
2,20,31,0.00291811441553436,-0
2,20,32,0.000524356504758128,-0
2,20,33,0.016364386033268,-0
2,20,34,2.27125698248898e-08,-0
2,0,1,0.0850236322007804,-0
2,0,2,0.173260759678383,0.0985040144869347
2,0,3,0.102351178311606,-0
2,0,4,0.0191482773962222,0.0141979844673679
2,0,5,0.0447723320731946,0.0292377676939214
2,0,6,0.114632404636364,0.113861155441295
2,0,7,0.26345176631122,0.315560318796777
2,0,8,0.0135653022937361,-0
2,0,9,0.0517572422977618,0.0374897901319311
2,0,10,0.0674788779330856,0.0692594619198872
2,0,11,0.0375752349483636,0.0204062786752084
2,0,12,0.0241767306394054,0.0140515773625506
2,0,13,0.0246877217907626,0.0135691616112036
2,0,14,0.0205544196591494,0.0162478071098012
2,0,15,0.0932139794288304,0.0961087933576519
2,0,16,0.0652387090123209,-0
2,0,17,0.0462802165648438,-0
2,0,18,0.413226213906414,0.586951251759875
2,0,19,0.129803932740015,0.150518705138374
2,0,20,0.436586314185214,0.479303716587532
2,0,21,0.69076005406712,0.79859482599505
2,0,22,0.216629089080835,0.288620264916012
2,0,23,0.0155276298041331,-0
2,0,24,0.310995116804551,0.473526779186469
2,0,25,0.0972444645129918,-0
2,0,26,0.0768105432682685,-0
2,0,27,0.0775449816373145,-0
2,0,28,0.073050384783259,-0
2,0,29,0.0827311025251662,-0
2,0,30,0.00600562715530284,-0
2,0,31,0.00539919294718771,-0
2,0,32,0.00117562992288611,-0
2,0,33,0.720577759628381,0.848099854899069
2,0,34,4.97070120619725e-08,-0
3,21,1,0.0333677573799447,-0
3,21,2,0.00174914342296728,-0
3,21,3,0.054531454612613,-0
3,21,4,0.00101221912650906,-0
3,21,5,0.00299562334153924,-0
3,21,6,0.0107488038196923,-0
3,21,7,0.00125919806121266,-0
3,21,8,0.00201755871389009,-0
3,21,9,0.00153094569047107,-0
3,21,10,0.00523397719308172,-0
3,21,11,0.00232999590459126,-0
3,21,12,0.00176179261933185,-0
3,21,13,0.00164879723053779,-0
3,21,14,0.000640969376474065,-0
3,21,15,0.00653518904302719,-0
3,21,16,0.00553840480467083,-0
3,21,17,0.0036818275975794,-0
3,21,18,0.00647570201831094,-0
3,21,19,0.0114493707736016,-0
3,21,20,0.0109444058403112,-0
3,21,21,0.485808295318788,0.778804579513844
3,21,22,0.00824790812266818,-0
3,21,23,0.000773713133797149,-0
3,21,24,0.00189412967094338,-0
3,21,25,0.00477027199783842,-0
3,21,26,0.00685080784951708,-0
3,21,27,0.0109294464798334,-0
3,21,28,0.0110683890819185,-0
3,21,29,0.0100680326492237,-0
3,21,30,0.00094044399928761,-0
3,21,31,0.000900615496524759,-0
3,21,32,0.000116644163446922,-0
3,21,33,0.00890726354036619,-0
3,21,34,0.000171534394728723,-0
3,22,1,7.04640756638009e-05,-0
3,22,2,0.000139856646554692,-0
3,22,3,8.88263198508543e-05,-0
3,22,4,2.65137565085283e-05,-0
3,22,5,0.000139253435217368,-0
3,22,6,0.000337775923519135,-0
3,22,7,0.000147886015244514,-0
3,22,8,0.000117530023465484,-0
3,22,9,5.63424019789371e-05,-0
3,22,10,0.000182270069076895,-0
3,22,11,0.000178742200930726,-0
3,22,12,0.000112465804774753,-0
3,22,13,0.000113399858194696,-0
3,22,14,8.60624338776539e-05,-0
3,22,15,0.000531654636536261,-0
3,22,16,0.000342559515989049,-0
3,22,17,0.000226074091343786,-0
3,22,18,0.000848523136487311,-0
3,22,19,0.000264234752555659,-0
3,22,20,0.000238995414586829,-0
3,22,21,0.000331662562916946,-0
3,22,22,0.0259588164912935,0.0867410403335002
3,22,23,9.24179609005371e-05,-0
3,22,24,0.000293614510507134,-0
3,22,25,0.00414877518154544,-0
3,22,26,0.000533391145898565,-0
3,22,27,0.000594713644601064,-0
3,22,28,0.000373624417673857,-0
3,22,29,0.000685388173633172,-0
3,22,30,5.00583796176901e-05,-0
3,22,31,0.000109857463243879,-0
3,22,32,1.46813952679459e-05,-0
3,22,33,0.000333910862878928,-0
3,22,34,3.60751600503306e-06,-0
3,24,1,2.52786124537163e-05,-0
3,24,2,7.89630221094129e-05,-0
3,24,3,3.49170731331894e-05,-0
3,24,4,5.16798048166844e-06,-0
3,24,5,5.03997112291099e-05,-0
3,24,6,5.9057513037919e-05,-0
3,24,7,0.000109166556216289,-0
3,24,8,1.99819964364911e-05,-0
3,24,9,2.43094788550113e-05,-0
3,24,10,4.53091386354298e-05,-0
3,24,11,5.92027553732999e-05,-0
3,24,12,8.08533932702415e-05,-0
3,24,13,7.83755763050786e-05,-0
3,24,14,1.28404453325626e-05,-0
3,24,15,0.000444872790237527,-0
3,24,16,3.7372736165775e-05,-0
3,24,17,7.47899034417854e-05,-0
3,24,18,4.242896890716e-05,-0
3,24,19,5.43909135719556e-05,-0
3,24,20,4.57573839605097e-05,-0
3,24,21,0.000223391161149,-0
3,24,22,0.000125010969196149,-0
3,24,23,1.47288508313137e-05,-0
3,24,24,0.0177032210270973,0.0228071074969126
3,24,25,0.000406758436043764,-0
3,24,26,7.25929766928202e-05,-0
3,24,27,0.000100043804517558,-0
3,24,28,4.66356678092694e-05,-0
3,24,29,0.000123508242824366,-0
3,24,30,7.37785499582699e-06,-0
3,24,31,2.45469185702341e-05,-0
3,24,32,1.45941369078528e-06,-0
3,24,33,5.06961310775544e-05,-0
3,24,34,6.90450606688486e-07,-0
3,33,1,0.00404373212137332,-0
3,33,2,0.00150726660337497,-0
3,33,3,0.00555170726737875,-0
3,33,4,0.000507544469493637,-0
3,33,5,0.00336518039807598,-0
3,33,6,0.016121736230581,-0
3,33,7,0.00106748405017887,-0
3,33,8,0.00187894546811529,-0
3,33,9,0.000909033707024998,-0
3,33,10,0.0038736767181573,-0
3,33,11,0.00173934715386859,-0
3,33,12,0.00141061196573711,-0
3,33,13,0.00151340242308318,-0
3,33,14,0.00047877785102457,-0
3,33,15,0.00627442646745857,-0
3,33,16,0.00462547851452633,-0
3,33,17,0.00432863188394328,-0
3,33,18,0.0044579662441574,-0
3,33,19,0.00477725696997344,-0
3,33,20,0.0043907005612478,-0
3,33,21,0.0196316236126858,-0
3,33,22,0.0088143177630472,-0
3,33,23,0.000895179531802515,-0
3,33,24,0.00440425241202902,-0
3,33,25,0.00468438831210716,-0
3,33,26,0.0157449886196243,-0
3,33,27,0.0106606171573876,-0
3,33,28,0.0101369566957719,-0
3,33,29,0.0151043976220525,-0
3,33,30,0.00411146273210328,-0
3,33,31,0.0018359009646719,-0
3,33,32,0.000376397913375404,-0
3,33,33,0.537313189398879,0.814653385424827
3,33,34,6.49891623639709e-05,-0
3,20,1,0.010772548047099,-0
3,20,2,0.0273542997805405,0.0302878279919543
3,20,3,0.00734368053665801,-0
3,20,4,0.0233301671868978,0.0230146443176471
3,20,5,0.0685082174149368,0.111585300551109
3,20,6,0.0995580872759828,0.166912174008651
3,20,7,0.0264929689133833,0.0264276883791097
3,20,8,0.00408176748524625,-0
3,20,9,0.0268902544848276,0.027132017302691
3,20,10,0.0513683191818692,0.0982450969680917
3,20,11,0.0112772807380043,0.00789579411669938
3,20,12,0.0214392404720274,0.0205632425049611
3,20,13,0.0182261951523053,0.0166609872128776
3,20,14,0.013705184917289,0.0127998539940296
3,20,15,0.0364100296477606,0.0457897774100844
3,20,16,0.0119689538101554,-0
3,20,17,0.00760529298829893,-0
3,20,18,0.23859546514305,0.381350074479048
3,20,19,0.121782714369698,0.192038097225255
3,20,20,0.160917302330292,0.259223505015411
3,20,21,0.0148112579396513,-0
3,20,22,0.0759107588135735,0.144250627110675
3,20,23,0.00187826838410543,-0
3,20,24,0.00907630973759366,-0
3,20,25,0.0336765294163927,-0
3,20,26,0.0245439608805792,-0
3,20,27,0.0210784172647845,-0
3,20,28,0.0200546452108318,-0
3,20,29,0.0270906545182849,-0
3,20,30,0.00194360425535378,-0
3,20,31,0.00253186278803619,-0
3,20,32,0.000408044976904942,-0
3,20,33,0.013524474104083,-0
3,20,34,0.000195664702925646,-0
3,0,1,0.0482797802365347,-0
3,0,2,0.0308295294755466,0.0302878279919543
3,0,3,0.0675505858096336,-0
3,0,4,0.024881612519892,0.0230146443176471
3,0,5,0.0750586743009984,0.111585300551109
3,0,6,0.126825460762813,0.166912174008651
3,0,7,0.0290767035962352,0.0264276883791097
3,0,8,0.00811578368715349,-0
3,0,9,0.0294108857631573,0.027132017302691
3,0,10,0.0607035523008213,0.0982450969680917
3,0,11,0.0155845687527687,0.00789579411669938
3,0,12,0.0248049642551406,0.0205632425049611
3,0,13,0.0215801702404256,0.0166609872128776
3,0,14,0.014923835023998,0.0127998539940296
3,0,15,0.05019617258502,0.0457897774100844
3,0,16,0.0225127693815074,-0
3,0,17,0.0159166164646082,-0
3,0,18,0.250420085510913,0.381350074479048
3,0,19,0.138327967779401,0.192038097225255
3,0,20,0.176537161530398,0.259223505015411
3,0,21,0.52080623059519,0.778804579513844
3,0,22,0.119056812159778,0.230991667444175
3,0,23,0.00365430786143672,-0
3,0,24,0.0333715273581697,0.0228071074969126
3,0,25,0.0476867233439269,-0
3,0,26,0.0477457414723121,-0
3,0,27,0.0433632383511233,-0
3,0,28,0.041680251074005,-0
3,0,29,0.053071981206019,-0
3,0,30,0.00705294722135796,-0
3,0,31,0.00540278363104685,-0
3,0,32,0.000917227862685999,-0
3,0,33,0.560129534037284,0.814653385424827
3,0,34,0.000436486226630284,-0
4,21,1,0.00920286138086635,-0
4,21,2,0.00474684676596471,-0
4,21,3,0.0125819731082922,-0
4,21,4,0.015677794707788,-0
4,21,5,0.00552539878045222,-0
4,21,6,0.0151494188453022,-0
4,21,7,0.00563063400122787,-0
4,21,8,0.00428469548131893,-0
4,21,9,0.0102227388048856,-0
4,21,10,0.00869086909405503,-0
4,21,11,0.00403882702337977,-0
4,21,12,0.00169145043339702,-0
4,21,13,0.00231592483875276,-0
4,21,14,0.0016667454496343,-0
4,21,15,0.00756106451485361,-0
4,21,16,0.0142630275715571,-0
4,21,17,0.0135944041080582,-0
4,21,18,0.00623099225305657,-0
4,21,19,0.0166222297867292,-0
4,21,20,0.0169454216322499,-0
4,21,21,0.837453357565349,0.871651916795352
4,21,22,0.00840938965081162,-0
4,21,23,0.0082630678983634,-0
4,21,24,0.00103954023113273,-0
4,21,25,0.00875629584925852,-0
4,21,26,0.0139742277031225,-0
4,21,27,0.0194597541411614,-0
4,21,28,0.0119456994594651,-0
4,21,29,0.0142479924974724,-0
4,21,30,0.000580610016460037,-0
4,21,31,0.00392509061239088,-0
4,21,32,0.00311186531722885,-0
4,21,33,0.066396989402582,-0
4,21,34,0.0245707200878954,NaN
4,22,1,0.000735591487563081,-0
4,22,2,0.00729169698595122,-0
4,22,3,0.000560352494937799,-0
4,22,4,0.00132765970961923,-0
4,22,5,0.00144461502410487,-0
4,22,6,0.00225375935220795,-0
4,22,7,0.012441127888977,-0
4,22,8,0.000833840207877912,-0
4,22,9,0.00264973147640601,-0
4,22,10,0.00260699829851485,-0
4,22,11,0.00149054225070488,-0
4,22,12,0.000575515330570542,-0
4,22,13,0.000788320830234612,-0
4,22,14,0.00401819520468816,-0
4,22,15,0.00186052543503856,-0
